,start,end,x,y,bezit
536,3944.1210505972,3953.7607863983003,2,2,NEC
537,3950.7607863983003,3958.8331349454998,1,2,NEC
538,3955.8331349454998,3962.3209542808004,1,3,NEC
539,3959.3209542808004,3966.5452115784,2,4,NEC
540,3964.4571498734003,3970.7370475331,2,2, TEG
541,3967.7370475331,3975.400859189,3,2, TEG
542,3972.400859189,3976.153110772,2,3, TEG
543,3974.6810910538,3981.8490709164003,2,1,NEC
544,3978.8490709164003,3992.7044065261,2,2,NEC
545,3990.6493909659002,3994.4971155008,2,2, TEG
546,3991.4971155008,4003.6728413163,1,3, TEG
547,4000.6728413163,4009.1209696765004,2,3, TEG
548,4006.1209696765004,4010.4728838354,1,2, TEG
549,4007.4728838354,4014.2887634340004,2,2, TEG
550,4011.2887634340004,4018.2971754887,2,3, TEG
551,4016.4171896249,4022.4569681079997,2,2,NEC
552,4020.6329812621,4024.9449533407,2,2, TEG
553,4021.9449533407,4029.2972389302004,3,2, TEG
554,4026.2972389302004,4031.7770377279,2,1, TEG
555,4031.7770385279,4038.4968394583,2,1, TEG
556,4035.4968394583,4043.0169042967,2,2, TEG
557,4040.0169042967,4046.0487734808003,3,2, TEG
558,4043.2168097533004,4048.8807380083003,2,3, TEG
559,4046.0487742808,4051.7050069379998,3,2, TEG
560,4050.9689340133,4056.3608630513,2,1,NEC
561,4054.3608458362,4058.2167413459,3,2, TEG
562,4055.2167413459,4068.4967858728005,2,3, TEG
563,4065.4967858728005,4071.8250488554,3,4, TEG
564,4074.2087516006,4078.6167686559,1,2,NEC
565,4123.0474644072,4129.6794205108,3,2, TEG
566,4126.6794205108,4143.6645396504,2,2, TEG
567,4140.6645396504,4148.2491291251,2,3, TEG
568,4146.8010656875,4157.9932307165,2,2,NEC
569,4154.9932307165,4161.1690773123,2,1,NEC
570,4163.0008988477,4169.0247404711,2,1,NEC
571,4166.0247404711,4171.3612715248,2,2,NEC
572,4168.3612715248,4181.1771864252005,1,3,NEC
573,4183.1768978886,4198.0092920809,1,3,NEC
574,4195.0092920809,4201.921209516599,2,2,NEC
575,4198.921209516599,4204.5930033823,2,1,NEC
576,4201.5930033823,4208.696976547801,3,2,NEC
577,4205.696976547801,4218.6608514536,2,2,NEC
578,4215.6805674003,4221.641136307,1,2,NEC
579,4218.6608522536,4232.2570265232,2,2,NEC
580,4229.2570265232,4241.6571275255,3,2,NEC
581,4238.6571275255,4246.8408870312,2,2,NEC
582,4243.8408870312,4251.504745245999,2,3,NEC
583,4249.5051451597,4254.633044861,2,1, TEG
584,4251.633044861,4262.3527555458,1,2, TEG
585,4260.8412019003,4267.6650261767,2,2, TEG
586,4264.6650261767,4270.932832346501,3,3, TEG
587,4268.2088262219,4273.6568392712,2,3, TEG
588,4270.9328331465,4277.033304402,3,3, TEG
589,4274.033304402,4280.1532543275,2,2, TEG
590,4277.1532543275,4295.0572698714,1,3, TEG
591,4292.0572698714,4298.4491884551,2,4, TEG
592,4334.1770955209995,4342.5369505301005,2,2,NEC
593,4339.5369505301005,4351.7529211831,1,4,NEC
594,4358.3130941906,4367.3448078957,1,4,NEC
595,4364.3448078957,4372.3693195663,2,4,NEC
596,4370.8172128941,4379.3129992084005,3,2, TEG
597,4391.34490002,4398.1606884622,3,2, TEG
598,4395.1606884622,4400.2092752015005,1,2, TEG
599,4397.2092752015005,4404.0331300054995,2,2, TEG
600,4401.0331300054995,4407.2891443892995,1,3, TEG
601,4404.2891443892995,4411.8971004509,1,4, TEG
602,4408.8971004509,4413.8491605784,2,4, TEG
603,4410.8491605784,4420.1447887483,3,3, TEG
604,4417.1447887483,4426.144884194699,2,3, TEG
605,4426.672798471,4434.792525259099,2,2,NEC
606,4431.792525259099,4436.8890860392,2,3,NEC
607,4436.26490632,4439.952986385901,3,2, TEG
608,4436.952986385901,4444.228892338901,2,2, TEG
609,4441.5287471181,4446.9290383596,1,2, TEG
610,4444.2288931389,4450.1289995933,2,2, TEG
611,4447.1289995933,4459.3445789446005,1,2, TEG
612,4456.3445789446005,4464.7848971867,2,2, TEG
613,4461.7848971867,4472.760600543,1,3, TEG
614,4469.760600543,4485.0966377987,2,3, TEG
615,4482.0966377987,4486.1931176879,1,4, TEG
616,4483.1931176879,4494.0568312078,2,4, TEG
617,4561.837103984501,4579.641047127199,2,2,NEC
618,4576.641047127199,4583.3929549096,1,2,NEC
619,4580.3929549096,4587.8007170606,1,3,NEC
620,4584.8007170606,4592.4491481922,3,3,NEC
621,4589.4491481922,4597.5049517929,2,3,NEC
622,4594.5049517929,4600.5850178036,2,4,NEC
623,4612.7925467843,4616.520408853,2,2, TEG
624,4613.520408853,4623.4650577076,2,3, TEG
625,4618.9849331111,4637.1447613204,7,5,NEC
626,4621.4812110322,4631.1447613204,3,3,NEC
627,4640.633302587899,4668.8082724417,3,3,NEC
628,4665.8082724417,4672.184946288,2,4,NEC
629,4675.6807076052,4685.7605214425,1,4,NEC
630,4682.7605214425,4694.1370733893,2,4,NEC
631,4695.3929966673995,4713.1443620292,3,4,NEC
632,4710.1443620292,4720.968878106401,2,3,NEC
633,4717.968878106401,4723.9286699194,3,3,NEC
634,4721.8891476199,4731.2809122117,1,2, TEG
635,4728.2809122117,4735.8326846505,2,3, TEG
636,4732.8326846505,4742.5448959781,1,4, TEG
637,4739.5448959781,4748.1447176758,2,4, TEG
638,4771.3522902599,4784.8958866190005,3,4, TEG
639,4781.8958866190005,4787.2253074817,2,4, TEG
640,4785.3692354017,4790.3531805617995,1,1,NEC
641,4787.913097499099,4797.6409738506,3,3, TEG
642,4796.3610743519,4801.272930438,1,2,NEC
643,4798.272930438,4804.5127921952,2,2,NEC
644,4803.0567012276,4809.5925884064,2,4, TEG
645,4809.3933055373,4826.9126842496,1,2,NEC
646,4851.3522465594,4863.0159480619,3,3, TEG
647,4860.7531043823,4874.3447733676,3,2,NEC
648,4860.9209581982,4881.9610699533005,7,5,NEC
649,4871.3447733676,4877.5289883198,2,3,NEC
650,4874.5289883198,4884.4406561061,2,4,NEC
651,4886.080895815399,4902.3844646024,1,4,NEC
652,4899.3844646024,4908.941158562,2,4,NEC
653,4910.300910715399,4926.448830739099,3,4,NEC
654,4923.448830739099,4929.0732357804,2,4,NEC
655,4954.5921635707,4968.3836993474,2,1, TEG
656,4965.3836993474,4970.7370927758,3,3, TEG
657,4968.8330247828,4975.6728024423,2,2,NEC
658,4972.6728024423,4980.6572638093,3,3,NEC
659,4977.6572638093,4982.7132958455995,3,2,NEC
660,4979.7132958455995,4986.5050737547,2,2,NEC
661,4983.5050737547,4990.0890381858,1,2,NEC
662,4988.7051088637,4994.6569679747,2,3, TEG
663,4991.6569679747,5003.248752622,2,4, TEG
664,5000.248752622,5008.056977162701,1,4, TEG
665,5005.056977162701,5010.7928900376,2,4, TEG
666,5007.7928900376,5016.5045848691,3,4, TEG
667,5013.5045848691,5018.3851237485,2,4, TEG
668,5019.0569976991,5030.6405785004,1,2,NEC
669,5062.0371083711,5070.3969613607005,1,2,NEC
670,5067.3969613607005,5078.8731879973,2,3,NEC
671,5077.257121226699,5084.9128161143,1,1, TEG
672,5081.9128161143,5091.0326405864,1,2, TEG
673,5088.0326405864,5094.1052174134,1,1, TEG
674,5091.1052174134,5099.1449921274,2,1, TEG
675,5096.1449921274,5105.0568950755,2,3, TEG
676,5102.8730612411,5108.4970868051005,2,1,NEC
677,5105.4970868051005,5109.6571082991995,3,2,NEC
678,5109.136858844,5112.7447769877,1,3, TEG
679,5112.3448345314,5122.1048501785,3,3,NEC
680,5119.8408263612,5131.9844464946,1,2, TEG
681,5128.9844464946,5139.1130055419,2,2, TEG
682,5136.1130055419,5142.320744252,3,2, TEG
683,5139.320744252,5148.9210333916,2,2, TEG
684,5145.9210333916,5156.7208510113,2,1, TEG
685,5154.8571760837,5159.3211287246,2,2,NEC
686,5156.3211287246,5159.9770932172,2,3,NEC
687,5158.0009979154,5162.153016467801,2,2, TEG
688,5159.153016467801,5168.536802342101,2,3, TEG
689,5167.1211280162,5174.1289148321,2,1,NEC
690,5171.1289148321,5183.8485210837,3,1,NEC
691,5182.393274678499,5190.8890524456,1,2, TEG
692,5187.8890524456,5191.2010748015,1,3, TEG
693,5188.2010748015,5197.1687912279995,2,3, TEG
694,5194.1687912279995,5202.8492112858,1,4, TEG
695,5199.8492112858,5203.8812022843,2,3, TEG
696,5200.8812022843,5207.6570065843,2,4, TEG
697,5204.6570065843,5210.9769809958,2,3, TEG
698,5207.9769809958,5217.1607866148,2,4, TEG
699,5219.6971725124,5224.3290995541,2,3, TEG
700,5221.3290995541,5229.4728749092,3,4, TEG
701,5226.4728749092,5234.0253108944,2,4, TEG
702,5234.3051477725,5243.0173340006,3,1,NEC
703,5240.0173340006,5247.1130889961,2,1,NEC
704,5244.1130889961,5252.8968695737,3,2,NEC
705,5250.825426307701,5261.409119230901,2,2, TEG
706,5258.409119230901,5264.4889421313,1,2, TEG
707,5261.4889421313,5270.2168514795,1,3, TEG
708,5267.7528925195,5272.6808112396,1,4, TEG
709,5270.2168522795,5279.0805485271,1,3, TEG
710,5276.0805485271,5289.288758587701,2,3, TEG
711,5286.288758587701,5300.080676483401,2,4, TEG
712,5375.288616597,5409.2490932759,2,4, TEG
